pickup_hour,total_trips,avg_fare,avg_duration_min
0,213954,18.98,13.3
1,141438,17.13,12.5
2,91583,16.11,11.6
3,61772,16.97,11.6
4,40459,22.92,13.7
5,46398,27.49,16.8
6,104997,22.06,16.3
7,220164,18.62,15.3
8,315188,17.18,14.9
9,367708,17.3,14.9
10,399528,17.64,15.1
11,430472,17.61,15.3
12,467424,17.97,15.5
13,491258,18.4,15.8
14,527157,19.34,17.0
15,551772,19.34,17.3
16,563569,19.22,17.1
17,613517,17.8,15.8
18,623471,16.67,14.3
19,539042,17.16,13.7
20,498395,17.58,13.5
21,502272,17.93,13.7
22,429104,18.54,14.1
23,307102,19.53,14.0
